,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
229,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,1,1,1,18.9,1197.0,81.86,5,810000,601000
230,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,1,1,1,18.9,1197.0,81.86,5,640000,500000
231,Maruti Dzire AMT ZDI Plus,Pune,2017,41747,2,2,1,28.4,1248.0,73.75,5,1126000,900000
232,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,1,1,1,18.16,1197.0,78.9,5,759000,727000
233,Maruti Swift VXI,Mumbai,2016,23555,1,1,1,22.0,1197.0,81.8,5,700000,509999
234,Volkswagen Polo GT TSI,Mumbai,2016,28000,1,2,1,17.21,1197.0,103.5,5,1126000,725000
235,Tata Bolt Quadrajet XE,Hyderabad,2017,40000,2,1,1,22.95,1248.0,74.0,5,743000,525000
236,Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,49000,2,2,1,18.23,1582.0,126.2,5,2243000,890000
237,Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,2,1,1,17.1,1956.0,170.0,5,2402000,1745000
238,Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,1,1,1,14.28,1798.0,138.03,5,2169000,622000
239,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,2,2,1,11.57,2987.0,254.79,5,9513000,6487000
240,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,1,2,1,15.5,1595.0,122.0,5,3463000,1725000
241,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,1,1,1,18.9,1197.0,81.86,5,632000,553000
242,BMW 3 Series 320d,Ahmedabad,2011,100000,2,2,2,22.69,1995.0,190.0,5,4331000,1090000
243,Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,1,1,1,15.1,1196.0,73.0,7,471000,290000
244,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,2,2,1,11.36,2755.0,171.5,7,2073999,1964999
245,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,1,1,1,18.9,1197.0,81.86,5,671000,575000
246,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,1,1,1,17.0,1198.0,73.75,5,868000,727000
247,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,2,2,1,12.9,2755.0,174.5,7,3445000,3000000
248,Maruti Dzire VDI,Delhi,2016,45376,2,1,1,28.4,1248.0,73.75,5,858000,575000
249,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,2,1,1,23.0,1498.0,98.96,5,1267000,809000
250,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,2,2,2,20.68,1995.0,190.0,5,4818000,2224000
251,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,2,1,1,23.0,1498.0,98.96,5,1189000,899000
252,Maruti Dzire ZDI Plus,Jaipur,2017,24000,2,1,1,28.4,1248.0,73.75,5,1048000,819999
253,Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,1,1,2,17.0,1591.0,121.3,5,1359000,525000
254,Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,2,1,1,24.3,1248.0,88.5,5,1102000,930000
255,Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,2,2,1,17.9,2143.0,136.0,5,4194000,2350000
256,Maruti Dzire VDI,Mumbai,2012,74000,2,1,2,28.4,1248.0,73.75,5,894000,425000
257,Jeep Compass 2.0 Longitude,Kochi,2018,28937,2,1,1,17.1,1956.0,170.0,5,2138000,1702000
258,Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,2,1,1,21.43,1364.0,86.79,5,1927000,712000
259,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,2,2,1,24.3,1248.0,88.5,5,1288000,1125000
260,Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,1,1,1,20.14,1197.0,81.86,5,827000,367000
261,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,2,2,1,20.68,1995.0,190.0,5,4818000,2850000
262,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,2,1,1,13.68,2393.0,147.8,7,2287000,1650000
263,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,1,2,1,18.9,1197.0,81.86,5,737000,676000
264,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,1,1,2,18.78,999.0,75.0,5,733000,550000
265,Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,1,1,1,15.1,1196.0,73.0,7,498000,375000
266,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,2,1,1,13.68,2393.0,147.8,7,2306000,1711000
267,Mahindra Bolero SLE,Hyderabad,2012,75000,2,1,1,15.96,2523.0,62.1,7,1032000,430000
268,Maruti Ignis 1.2 Alpha,Mumbai,2017,1000,1,1,1,20.89,1197.0,81.8,5,787000,636000
269,Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,2,1,1,17.1,1956.0,170.0,5,2246000,1905000
270,Mini Cooper 5 DOOR D,Hyderabad,2017,2000,2,2,1,20.7,1496.0,113.98,5,4248000,3400000
271,Tata Zest Revotron 1.2T XMS,Chennai,2015,40000,1,1,1,17.57,1193.0,88.7,5,769000,400000
272,Ford Aspire Titanium Plus Diesel,Kolkata,2015,2800,2,1,1,26.1,1498.0,99.0,5,940000,841000
273,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,37429,1,1,1,18.9,1197.0,81.86,5,810000,589000
274,Honda City i-VTEC V,Delhi,2011,67031,1,1,1,17.4,1497.0,117.3,5,1185000,400000
275,Maruti Celerio VXI AMT,Mumbai,2016,47691,1,2,1,23.1,998.0,67.04,5,608000,394000
276,Maruti Dzire VDI,Kolkata,2015,28193,2,1,1,28.4,1248.0,73.75,5,836000,525000
277,Mercedes-Benz E-Class E 220 d,Hyderabad,2013,85000,2,2,1,16.1,1950.0,194.0,5,7115000,2100000
278,Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,20780,1,1,1,18.9,1197.0,81.86,5,682000,430000
279,Mercedes-Benz GLE 250d,Kochi,2017,25601,2,2,1,17.9,2143.0,201.15,5,7876000,5673000
280,Ford Freestyle Titanium Petrol,Mumbai,2007,1261,1,1,1,19.0,1194.0,94.68,5,811999,600000
281,Hyundai Elite i20 Asta Option,Coimbatore,2017,59450,1,1,1,18.6,1197.0,81.86,5,977999,753000
282,Maruti Baleno Delta,Mumbai,2016,12573,1,1,1,21.4,1197.0,83.1,5,736000,580000
283,Toyota Fortuner 2.8 2WD AT,Pune,2017,29000,2,2,1,12.9,2755.0,174.5,7,3811000,3100000
284,Maruti Ertiga ZDI,Delhi,2013,68000,2,1,1,25.47,1248.0,88.5,7,1175000,484999
285,Maruti Swift VDI,Hyderabad,2013,84000,2,1,1,28.4,1248.0,74.0,5,844000,565000
286,Hyundai Creta 1.6 SX Option,Delhi,2016,24347,1,1,1,15.8,1591.0,121.3,5,1605999,1100000
287,Honda City i-VTEC CVT VX,Mumbai,2017,17000,1,2,1,18.0,1497.0,117.3,5,1529000,1160000
288,Honda Brio 1.2 VX MT,Kochi,2014,41460,1,1,1,18.5,1198.0,86.8,5,663000,395000
289,Toyota Fortuner 2.8 4WD MT,Bangalore,2015,150386,2,1,1,14.24,2755.0,174.5,7,3960000,2300000
290,Maruti Vitara Brezza ZDi Plus,Ahmedabad,2017,80000,2,1,1,24.3,1248.0,88.5,5,1091000,800000
291,Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,Mumbai,2016,13000,1,2,1,12.95,1999.0,152.88,5,2575000,1775000
292,Maruti Wagon R VXI,Kolkata,2016,16956,1,1,1,22.5,998.0,67.04,5,529000,360000
293,Maruti Wagon R VXI,Mumbai,2010,38000,1,1,2,22.5,998.0,67.04,5,561000,175000
294,Honda Brio 1.2 VX AT,Mumbai,2017,20000,1,2,1,16.5,1198.0,86.8,5,805000,599000
295,Toyota Etios Cross 1.4L GD,Kochi,2016,36681,2,1,1,23.59,1364.0,67.06,5,882000,671000
296,Honda City i-VTEC CVT ZX,Coimbatore,2018,20300,1,2,1,18.0,1497.0,117.3,5,1738000,1421000
297,Maruti Celerio ZXI MT,Kochi,2017,21799,1,1,1,23.1,998.0,67.04,5,569000,511000
298,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2017,35358,2,2,1,11.36,2755.0,171.5,7,2656000,2299000
299,Tata Tiago 1.2 Revotron XT,Jaipur,2016,42700,1,1,1,23.84,1199.0,84.0,5,561000,360000
300,Toyota Fortuner 2.8 4WD MT,Hyderabad,2010,110000,2,1,1,14.24,2755.0,174.5,7,3751000,1370000
301,Maruti Wagon R VXI 1.2,Mumbai,2015,55000,1,1,1,21.5,1197.0,81.8,5,588000,310000
302,Honda City i-DTEC ZX,Hyderabad,2017,46000,2,1,1,25.6,1498.0,98.6,5,1695000,1290000
303,BMW 5 Series 520d Luxury Line,Ahmedabad,2012,95000,2,2,2,22.48,1995.0,190.0,5,6371000,1750000
304,Ford EcoSport 1.5 Diesel Titanium,Delhi,2017,39000,2,1,1,23.0,1498.0,98.96,5,1147000,844999
305,Toyota Fortuner 2.8 4WD MT,Mumbai,2010,140000,2,1,1,14.24,2755.0,174.5,7,3746000,1075000
306,Maruti Swift VDI,Kochi,2016,62192,2,1,1,28.4,1248.0,74.0,5,788000,522000
307,Maruti Ciaz Alpha,Kochi,2018,38394,1,1,1,21.56,1462.0,103.25,5,1137000,918000
308,Hyundai Elantra 2.0 SX Option AT,Delhi,2016,28000,1,2,1,14.62,1999.0,149.92,5,2177000,1390000
309,Volkswagen Vento 1.5 TDI Trendline,Mumbai,2011,47000,2,1,1,20.64,1498.0,108.5,5,1130000,325000
310,Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,2,2,1,18.0,2987.0,258.0,5,9250000,7880000
311,Hyundai Elantra 2.0 SX Option AT,Coimbatore,2015,58239,1,2,1,14.62,1999.0,149.92,5,2364000,969000
312,Nissan Terrano XL D Option,Mumbai,2014,51000,2,1,1,19.87,1461.0,83.14,5,1506000,565000
313,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2016,88008,2,2,2,12.9,2755.0,174.5,7,3445000,2250000
314,Mercedes-Benz GLA Class 200 d Sport,Mumbai,2018,10000,2,2,1,17.9,2143.0,136.0,5,4194000,2890000
315,Mini Cooper Convertible S,Chennai,2012,17000,1,2,2,16.82,1998.0,189.08,4,4428000,2200000
316,Mini Cooper 3 DOOR S,Mumbai,2013,21000,1,2,1,17.44,1998.0,189.08,4,3957000,2150000
317,Skoda Rapid 1.6 MPI AT Ambition,Mumbai,2017,32000,1,2,1,14.84,1598.0,103.52,5,1370000,811000
318,Maruti Ertiga VDI,Delhi,2017,65000,2,1,1,25.47,1248.0,88.5,7,1116000,765000
319,Ford EcoSport 1.5 Petrol Trend,Kolkata,2016,21460,1,1,1,17.0,1497.0,121.36,5,947000,600000
320,Honda Jazz V CVT,Hyderabad,2015,33000,1,2,1,19.0,1199.0,88.7,5,1017000,725000
321,Maruti Vitara Brezza ZDi Plus,Jaipur,2017,48324,2,1,1,24.3,1248.0,88.5,5,1147000,900000
322,Hyundai Grand i10 1.2 CRDi Sportz,Kochi,2017,20773,2,1,1,24.0,1186.0,73.97,5,817000,592000
323,Volkswagen Polo 1.5 TDI Highline,Kolkata,2016,22000,2,1,1,20.14,1498.0,88.0,5,958000,629000
324,BMW 3 Series 320d,Mumbai,2013,25000,2,2,1,22.69,1995.0,190.0,5,4787000,1798999
325,Mahindra Xylo H4,Chennai,2015,82000,2,1,2,14.02,2179.0,118.3,7,1167000,484999
326,Maruti Dzire VDI,Hyderabad,2011,110000,2,1,1,28.4,1248.0,73.75,5,914000,400000
327,Volkswagen Polo 1.5 TDI Highline,Delhi,2012,68038,2,1,1,20.14,1498.0,88.0,5,996000,360000
328,BMW 5 Series 520d Luxury Line,Ahmedabad,2013,55000,2,2,1,22.48,1995.0,190.0,5,6371000,2175000
329,Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,2017,25000,2,2,1,17.9,2143.0,170.0,5,6414000,4500000
330,Maruti Alto K10 VXI,Coimbatore,2011,46808,1,1,2,24.07,998.0,67.1,5,470000,319000
331,Hyundai Xcent 1.2 VTVT S,Coimbatore,2015,65743,1,1,1,20.14,1197.0,81.86,5,785000,620000
332,Hyundai Creta 1.6 SX Option,Mumbai,2016,29477,1,1,1,15.8,1591.0,121.3,5,1636000,1025000
333,Toyota Fortuner 2.8 2WD AT,Delhi,2017,40000,2,2,1,12.9,2755.0,174.5,7,3738000,3000000
334,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,30000,2,1,1,23.0,1498.0,98.96,5,1189000,899000
335,Tata Zest Revotron 1.2T XE,Delhi,2017,47000,1,1,2,17.57,1193.0,88.7,5,662000,450000
336,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,45362,2,1,1,24.3,1248.0,88.5,5,1175000,938000
337,Tata Hexa XTA,Coimbatore,2019,14233,2,2,1,17.6,2179.0,153.86,7,2274000,1785000
338,Skoda Superb Style 1.8 TSI AT,Mumbai,2010,62004,1,2,2,14.67,1798.0,177.46,5,3336000,375000
339,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25500,2,2,1,21.5,1498.0,108.5,5,1586000,894999
340,Mercedes-Benz E-Class E 220 d,Mumbai,2018,11000,2,2,1,16.1,1950.0,194.0,5,7055000,5650000
341,BMW 3 Series 320d Luxury Line,Mumbai,2014,18600,2,2,2,22.69,1995.0,190.0,5,5443000,2100000
342,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,20969,2,2,1,17.9,2143.0,136.0,5,4536000,2787000
343,Maruti Vitara Brezza ZDi,Kolkata,2018,2900,2,1,1,24.3,1248.0,88.5,5,1013000,875000
344,Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,2,1,1,21.13,1498.0,108.4,5,1422000,1192000
345,Mahindra NuvoSport N8,Coimbatore,2017,37712,2,1,1,17.45,1493.0,100.0,7,1177000,757000
346,Datsun redi-GO T Option,Kochi,2018,30953,1,1,1,22.7,799.0,53.64,5,405000,348000
347,Jeep Compass 2.0 Limited 4X4,Coimbatore,2018,48188,2,1,1,16.3,1956.0,170.0,5,2695000,2169000
348,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2017,65367,2,2,1,11.36,2755.0,171.5,7,2805000,2014000
349,Maruti Wagon R VXI AMT,Mumbai,2016,8000,1,2,1,22.5,998.0,67.0,5,614000,415000
350,Maruti Alto K10 VXI,Mumbai,2016,13198,1,1,1,24.07,998.0,67.1,5,482000,315000
351,Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,2019,15379,1,2,1,23.84,1199.0,83.83,5,717000,697000
352,Mini Cooper Convertible S,Mumbai,2016,15000,1,2,1,16.82,1998.0,189.08,4,4428000,3500000
353,Hyundai Verna CRDi 1.6 SX Option,Pune,2017,50000,2,1,1,22.0,1582.0,126.2,5,1572000,1150000
354,Renault Duster 85PS Diesel RxE,Pune,2016,54000,2,1,1,19.87,1461.0,83.8,5,1127000,650000
355,Honda BRV i-VTEC V MT,Pune,2016,9200,1,1,1,15.4,1497.0,117.3,7,1358000,800000
356,Honda Amaze S Diesel,Hyderabad,2015,29000,2,1,1,27.4,1498.0,98.6,5,909000,599000
357,Maruti Alto K10 VXI,Kochi,2018,46805,1,1,1,24.07,998.0,67.1,5,409000,363000
358,Tata Zest Revotron 1.2T XE,Mumbai,2017,100000,1,1,1,17.57,1193.0,88.7,5,683000,425000
359,Maruti Wagon R LXI,Kochi,2011,15466,1,1,1,22.5,998.0,67.04,5,504000,336000
360,BMW 3 Series 320d,Kolkata,2011,70000,2,2,1,22.69,1995.0,190.0,5,4381000,1030000
361,Maruti Wagon R VXI,Kochi,2014,41994,1,1,1,22.5,998.0,67.04,5,512000,341000
362,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,51000,2,2,1,15.17,1968.0,181.0,5,4864000,2750000
363,Maruti Wagon R VXI 1.2,Jaipur,2015,64876,1,1,1,21.5,1197.0,81.8,5,571000,350000
364,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,25299,2,1,1,24.3,1248.0,88.5,5,1256000,1034000
365,Honda Amaze V Petrol,Kochi,2016,40866,1,1,1,19.5,1199.0,86.76,5,816000,547000
366,Mini Cooper Convertible S,Kochi,2017,20469,1,2,1,16.82,1998.0,189.08,4,4428000,3597999
367,Volkswagen Ameo 1.5 TDI Highline,Kochi,2018,31426,2,1,1,21.66,1498.0,108.62,5,972000,790000
368,Maruti Baleno Alpha CVT,Kochi,2019,13574,1,2,1,21.4,1197.0,83.1,5,1030000,951000
369,BMW 5 Series 520d Luxury Line,Ahmedabad,2013,90000,2,2,1,22.48,1995.0,190.0,5,6371000,1950000
370,Maruti Vitara Brezza ZDi Plus,Kochi,2017,38426,2,1,1,24.3,1248.0,88.5,5,1112000,913000
371,Maruti Eeco 7 Seater Standard,Pune,2011,45000,1,1,1,15.1,1196.0,73.0,7,469000,225000
372,Maruti Wagon R LXI,Mumbai,2010,37822,1,1,1,22.5,998.0,67.04,5,504000,235000
373,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2017,72202,2,1,1,13.68,2393.0,147.8,8,2401000,1792000
374,Mercedes-Benz GLE 350d,Coimbatore,2018,30706,2,2,1,11.57,2987.0,254.79,5,9513000,5929000
375,Maruti Baleno Alpha,Mumbai,2016,12208,1,1,1,21.4,1197.0,83.1,5,877999,675000
376,Volkswagen Polo GT TSI,Mumbai,2017,27853,1,2,1,17.21,1197.0,103.5,5,1126000,825000
377,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,20689,1,1,1,18.9,1197.0,81.86,5,668000,607000
378,Renault KWID 1.0 RXT Optional AMT,Coimbatore,2017,53285,1,2,1,22.5,999.0,67.0,5,542000,428000
379,Mercedes-Benz GLE 350d,Mumbai,2017,19863,2,2,1,11.57,2987.0,254.79,5,9123000,6495000
380,Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,2018,3958,1,1,1,18.9,1197.0,81.86,5,714000,555000
381,BMW X3 xDrive 20d Luxury Line,Hyderabad,2009,58000,2,2,1,18.56,1995.0,190.0,5,6959000,1798000
382,Renault KWID 1.0 RXT Optional,Kochi,2018,18335,1,1,1,21.7,999.0,67.0,5,461000,450000
383,Volkswagen Polo GT TSI,Mumbai,2017,25000,1,2,1,17.21,1197.0,103.5,5,1126000,775000
384,Toyota Fortuner 2.8 2WD AT,Kochi,2019,21719,2,2,1,12.9,2755.0,174.5,7,3738000,3313000
385,Renault KWID Climber 1.0 MT,Hyderabad,2018,4126,1,1,1,21.7,999.0,67.0,5,530000,480000
386,Tata Bolt Quadrajet XM,Hyderabad,2017,98500,2,1,1,22.95,1248.0,74.0,5,797000,600000
387,BMW 3 Series 320d,Coimbatore,2009,103905,2,2,1,22.69,1995.0,190.0,5,4331000,992000
388,Audi A6 35 TDI Matrix,Delhi,2014,56000,2,2,1,18.53,1968.0,187.74,5,5938000,2400000
389,Volkswagen Vento 1.5 TDI Highline AT,Kochi,2017,33550,2,2,1,21.5,1498.0,108.5,5,1586000,960000
390,Audi A6 35 TDI Matrix,Hyderabad,2014,62000,2,2,1,18.53,1968.0,187.74,5,6709999,2500000
391,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,27852,1,2,1,14.8,1497.0,121.36,5,1410000,1044000
392,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,2018,14000,2,1,1,21.5,1497.0,108.5,5,1222000,990000
393,Isuzu MUX 4WD,Jaipur,2017,34429,2,2,1,13.8,2999.0,174.57,7,3368000,2000000
394,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52100,2,1,1,21.43,1364.0,86.79,5,1927000,650000
395,Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,2018,10000,1,1,1,18.9,1197.0,81.86,5,696000,585000
396,Jeep Compass 2.0 Limited 4X4,Coimbatore,2019,6261,2,1,1,16.3,1956.0,170.0,5,2695000,2391000
397,Maruti Ignis 1.2 AMT Alpha,Coimbatore,2019,3906,1,2,1,20.89,1197.0,81.8,5,796000,736000
398,Toyota Innova Crysta 2.4 VX MT,Mumbai,2017,38000,2,1,1,13.68,2393.0,147.8,7,2306000,1764999
399,Toyota Platinum Etios 1.4 GXD,Hyderabad,2015,150000,2,1,1,23.59,1364.0,67.05,5,958000,600000
400,Toyota Innova Crysta 2.8 GX AT 8S,Delhi,2017,18000,2,2,1,11.36,2755.0,171.5,8,2080000,1825000
401,Nissan Micra Active XV,Ahmedabad,2016,41000,1,1,1,19.69,1198.0,67.04,5,678000,425000
402,Jeep Compass 2.0 Sport,Hyderabad,2017,37000,2,1,1,17.1,1956.0,170.0,5,1991000,1689999
403,Tata Zest Quadrajet 1.3 75PS XM,Pune,2017,72000,2,1,1,22.95,1248.0,74.0,5,893000,500000
404,Maruti Dzire VXI,Hyderabad,2013,34900,1,1,1,22.0,1197.0,81.8,5,797000,549000
405,Maruti Wagon R LXI,Mumbai,2014,25422,1,1,1,22.5,998.0,67.04,5,504000,325000
406,Maruti Ertiga VDI,Mumbai,2018,14000,2,1,1,25.47,1248.0,88.5,7,1166000,925000
407,Mahindra KUV 100 G80 K6 Plus 5Str,Kolkata,2017,43000,1,1,1,18.15,1198.0,82.0,5,735000,450000
408,Maruti Swift VXI,Pune,2010,68000,1,1,1,22.0,1197.0,81.8,5,699000,280000
409,Jeep Compass 2.0 Limited,Pune,2018,16039,2,1,1,17.1,1956.0,170.0,5,2389000,1850000
410,Maruti Swift LDI,Hyderabad,2016,52000,2,1,1,28.4,1248.0,74.0,5,727000,595000
411,Maruti Swift VDI,Kochi,2015,53500,2,1,1,28.4,1248.0,74.0,5,788000,536000
412,Hyundai Xcent 1.2 CRDi S,Mumbai,2016,50000,2,1,1,25.4,1186.0,73.97,5,884000,350000
413,BMW 3 Series 320d Luxury Line,Delhi,2019,87000,2,2,1,22.69,1995.0,190.0,5,5246000,667000
414,Mahindra Xylo H4,Coimbatore,2016,93166,2,1,2,14.02,2179.0,118.3,7,1167000,585000
415,Toyota Corolla Altis 1.8 VL CVT,Kolkata,2018,5000,1,2,1,14.28,1798.0,138.03,5,2237000,1695000
416,Skoda Rapid 1.6 MPI Ambition,Mumbai,2015,39822,1,1,1,15.41,1598.0,103.52,5,1202000,468000
417,Renault KWID RXL,Kochi,2017,24214,1,1,2,25.17,799.0,53.3,5,395000,346000
418,BMW 3 Series 320d,Coimbatore,2013,85846,2,2,1,22.69,1995.0,190.0,5,4879000,1308000
419,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,35981,2,1,1,24.3,1248.0,88.5,5,1129000,951000
420,Honda Brio 1.2 S MT,Mumbai,2015,22000,1,1,1,18.5,1198.0,86.8,5,623000,395000
421,Hyundai Grand i10 1.2 Kappa Magna AT,Coimbatore,2019,12153,1,2,1,18.9,1197.0,81.86,5,798000,684000
422,Audi A4 30 TFSI Premium Plus,Kochi,2017,61221,1,2,1,17.84,1395.0,147.51,5,4716000,2173000
423,Mini Cooper 5 DOOR D,Kochi,2019,14857,2,2,1,20.7,1496.0,113.98,5,4198000,3155000
424,Ford Endeavour Titanium 4X2,Coimbatore,2019,14648,2,1,1,12.62,2198.0,158.0,7,3529000,2736000
425,Tata Zest Revotron 1.2T XM,Kochi,2017,48198,1,1,1,17.57,1193.0,88.7,5,763000,465000
426,Maruti Dzire LDI,Pune,2012,150000,2,1,3,28.4,1248.0,73.75,5,791000,225000
427,Maruti Wagon R VXI,Chennai,2014,52000,1,1,1,22.5,998.0,67.04,5,551000,345000
428,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2017,62788,1,1,1,18.9,1197.0,81.86,5,810000,608000
429,Toyota Innova Crysta 2.8 GX AT,Pune,2018,20300,2,2,1,11.36,2755.0,171.5,7,2097000,1800000
430,Mini Cooper 3 DOOR D,Kochi,2015,27641,2,2,2,20.7,1496.0,113.98,4,3489000,2477000
431,Mahindra XUV500 W7,Delhi,2018,9000,2,1,1,14.0,2179.0,155.0,7,1639999,1300000
432,Honda City i-VTEC CVT VX,Mumbai,2015,19000,1,2,1,18.0,1497.0,117.3,5,1529000,894999
433,Honda City i-VTEC CVT VX,Jaipur,2017,35000,1,2,1,18.0,1497.0,117.3,5,1467000,770000
434,Honda City i-VTEC V,Mumbai,2017,11000,1,1,1,17.4,1497.0,117.3,5,1257000,850000
435,Nissan Micra XV D,Chennai,2012,93450,2,1,2,23.19,1461.0,63.12,5,948000,250000
436,Maruti Dzire ZDI,Ahmedabad,2013,56454,2,1,1,28.4,1248.0,73.75,5,894999,465000
437,Jeep Compass 2.0 Limited Option 4X4,Kolkata,2017,15050,2,1,1,16.3,1956.0,170.0,5,2319000,1750000
438,Ford Freestyle Titanium Plus Petrol,Kolkata,2018,8896,1,1,1,19.0,1194.0,94.68,5,824000,734000
439,Honda Jazz V,Mumbai,2016,31378,1,1,1,18.2,1199.0,88.7,5,871000,590000
440,Audi Q3 30 TDI Premium FWD,Mumbai,2017,31000,2,2,1,18.51,1968.0,147.51,5,4475000,2700000
441,Mercedes-Benz E-Class E400 Cabriolet,Kolkata,2015,7501,1,2,1,10.0,2996.0,333.0,4,8757000,4800000
442,Mercedes-Benz GLE 350d,Coimbatore,2018,29277,2,2,1,11.57,2987.0,254.79,5,9513000,5965000
443,Maruti Baleno Delta CVT,Coimbatore,2018,34630,1,2,1,21.4,1197.0,83.1,5,857000,729000
444,Mini Cooper 3 DOOR D,Kochi,2016,32298,2,2,1,20.7,1496.0,113.98,4,3500000,2380000
445,Ford Aspire Ambiente Diesel,Kolkata,2018,17000,2,1,1,26.1,1498.0,99.0,5,756000,565000
446,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,29836,2,2,1,17.9,2143.0,136.0,5,4307000,2575000
447,Toyota Etios Liva 1.4 GD,Delhi,2013,84000,2,1,1,23.59,1364.0,67.04,5,783000,385000
448,Maruti Celerio VXI AMT,Chennai,2015,55000,1,2,1,23.1,998.0,67.04,5,600000,350000
449,Honda City i-VTEC VX,Mumbai,2017,7500,1,1,1,17.4,1497.0,117.3,5,1376000,1115000
450,Renault Duster 110PS Diesel RxZ AMT,Jaipur,2016,68163,2,2,1,19.6,1461.0,108.45,5,1411000,890000
451,Maruti Vitara Brezza LDi,Kochi,2017,35384,2,1,1,24.3,1248.0,88.5,5,911999,861000
452,Ford EcoSport 1.5 Diesel Titanium,Coimbatore,2018,32189,2,1,1,23.0,1498.0,98.96,5,1120000,925000
453,BMW 3 Series 320d,Mumbai,2010,67000,2,2,2,22.69,1995.0,190.0,5,4787000,925000
454,Maruti Vitara Brezza ZDi Plus,Coimbatore,2018,52380,2,1,1,24.3,1248.0,88.5,5,1247000,1015000
455,Toyota Etios Liva 1.2 G,Chennai,2011,42000,1,1,2,17.71,1197.0,78.9,5,651000,375000
456,Honda WRV i-VTEC VX,Ahmedabad,2017,32248,1,1,1,17.5,1199.0,88.7,5,1032000,825000
457,Hyundai Grand i10 1.2 Kappa Asta,Bangalore,2014,61325,1,1,1,18.9,1197.0,81.86,5,810000,440000
458,Honda Amaze S Petrol,Jaipur,2014,69000,1,1,1,19.5,1199.0,88.76,5,752000,450000
459,Volkswagen Vento 1.5 TDI Highline AT,Hyderabad,2016,45492,2,2,1,21.5,1498.0,108.5,5,1568000,1030000
460,Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,2014,33496,1,1,1,18.9,1197.0,81.86,5,745000,550000
