Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
BMW 5 Series 520d Luxury Line,Kochi,2018,32586,Diesel,Automatic,First,22.48,1995.0,190.0,5,6787000,3729999
Mercedes-Benz GLE 350d,Coimbatore,2018,40129,Diesel,Automatic,First,11.57,2987.0,254.79,5,9513000,7080000
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,Petrol,Manual,First,18.9,1197.0,81.86,5,662000,603000
Honda Amaze V CVT Petrol,Pune,2018,1700,Petrol,Automatic,First,19.0,1199.0,88.76,5,944000,780000
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,Diesel,Automatic,First,15.17,1968.0,181.0,5,4864000,2803000
Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489.0,93.7,7,1169000,500000
Maruti Ciaz Zeta,Mumbai,2017,5500,Petrol,Manual,First,21.56,1462.0,103.25,5,1111000,819999
Maruti Wagon R LXI,Ahmedabad,2010,21002,Petrol,Manual,First,22.5,998.0,67.04,5,474000,275000
Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,Petrol,Manual,First,15.1,1196.0,73.0,7,498000,474000
Renault KWID Climber 1.0 MT,Delhi,2017,15000,Petrol,Manual,First,21.7,999.0,67.0,5,498000,425000
Honda WRV i-VTEC VX,Kochi,2018,15135,Petrol,Manual,First,17.5,1199.0,88.7,5,1057000,928999
Maruti Wagon R VXI AMT,Coimbatore,2017,37832,Petrol,Automatic,First,22.5,998.0,67.0,5,633000,523000
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,Petrol,Manual,First,18.9,1197.0,81.86,5,810000,601000
Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,Petrol,Manual,First,18.9,1197.0,81.86,5,640000,500000
Maruti Dzire AMT ZDI Plus,Pune,2017,41747,Diesel,Automatic,First,28.4,1248.0,73.75,5,1126000,900000
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197.0,78.9,5,759000,727000
Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0,1197.0,81.8,5,700000,509999
Volkswagen Polo GT TSI,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197.0,103.5,5,1126000,725000
Tata Bolt Quadrajet XE,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1248.0,74.0,5,743000,525000
Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,49000,Diesel,Automatic,First,18.23,1582.0,126.2,5,2243000,890000
Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,Diesel,Manual,First,17.1,1956.0,170.0,5,2402000,1745000
Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,Petrol,Manual,First,14.28,1798.0,138.03,5,2169000,622000
Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,11.57,2987.0,254.79,5,9513000,6487000
Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,Petrol,Automatic,First,15.5,1595.0,122.0,5,3463000,1725000
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,Petrol,Manual,First,18.9,1197.0,81.86,5,632000,553000
BMW 3 Series 320d,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1995.0,190.0,5,4331000,1090000
Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,Petrol,Manual,First,15.1,1196.0,73.0,7,471000,290000
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,Diesel,Automatic,First,11.36,2755.0,171.5,7,2073999,1964999
Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,Petrol,Manual,First,18.9,1197.0,81.86,5,671000,575000
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,First,17.0,1198.0,73.75,5,868000,727000
Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,Diesel,Automatic,First,12.9,2755.0,174.5,7,3445000,3000000
Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,First,28.4,1248.0,73.75,5,858000,575000
Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,Diesel,Manual,First,23.0,1498.0,98.96,5,1267000,809000
BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,Second,20.68,1995.0,190.0,5,4818000,2224000
Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,First,23.0,1498.0,98.96,5,1189000,899000
Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,First,28.4,1248.0,73.75,5,1048000,819999
Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Petrol,Manual,Second,17.0,1591.0,121.3,5,1359000,525000
Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,First,24.3,1248.0,88.5,5,1102000,930000
Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,Diesel,Automatic,First,17.9,2143.0,136.0,5,4194000,2350000
Maruti Dzire VDI,Mumbai,2012,74000,Diesel,Manual,Second,28.4,1248.0,73.75,5,894000,425000
Jeep Compass 2.0 Longitude,Kochi,2018,28937,Diesel,Manual,First,17.1,1956.0,170.0,5,2138000,1702000
Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,Diesel,Manual,First,21.43,1364.0,86.79,5,1927000,712000
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,Diesel,Automatic,First,24.3,1248.0,88.5,5,1288000,1125000
Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,Petrol,Manual,First,20.14,1197.0,81.86,5,827000,367000
BMW X1 sDrive 20d xLine,Bangalore,2016,28143,Diesel,Automatic,First,20.68,1995.0,190.0,5,4818000,2850000
Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,Diesel,Manual,First,13.68,2393.0,147.8,7,2287000,1650000
Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,Petrol,Automatic,First,18.9,1197.0,81.86,5,737000,676000
Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Petrol,Manual,Second,18.78,999.0,75.0,5,733000,550000
Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,Petrol,Manual,First,15.1,1196.0,73.0,7,498000,375000
Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,Diesel,Manual,First,13.68,2393.0,147.8,7,2306000,1711000
Mahindra Bolero SLE,Hyderabad,2012,75000,Diesel,Manual,First,15.96,2523.0,62.1,7,1032000,430000
Maruti Ignis 1.2 Alpha,Mumbai,2017,1000,Petrol,Manual,First,20.89,1197.0,81.8,5,787000,636000
Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,Diesel,Manual,First,17.1,1956.0,170.0,5,2246000,1905000
Mini Cooper 5 DOOR D,Hyderabad,2017,2000,Diesel,Automatic,First,20.7,1496.0,113.98,5,4248000,3400000
Tata Zest Revotron 1.2T XMS,Chennai,2015,40000,Petrol,Manual,First,17.57,1193.0,88.7,5,769000,400000
Ford Aspire Titanium Plus Diesel,Kolkata,2015,2800,Diesel,Manual,First,26.1,1498.0,99.0,5,940000,841000
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,37429,Petrol,Manual,First,18.9,1197.0,81.86,5,810000,589000
Honda City i-VTEC V,Delhi,2011,67031,Petrol,Manual,First,17.4,1497.0,117.3,5,1185000,400000
Maruti Celerio VXI AMT,Mumbai,2016,47691,Petrol,Automatic,First,23.1,998.0,67.04,5,608000,394000
Maruti Dzire VDI,Kolkata,2015,28193,Diesel,Manual,First,28.4,1248.0,73.75,5,836000,525000
Mercedes-Benz E-Class E 220 d,Hyderabad,2013,85000,Diesel,Automatic,First,16.1,1950.0,194.0,5,7115000,2100000
Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,20780,Petrol,Manual,First,18.9,1197.0,81.86,5,682000,430000
Mercedes-Benz GLE 250d,Kochi,2017,25601,Diesel,Automatic,First,17.9,2143.0,201.15,5,7876000,5673000
Ford Freestyle Titanium Petrol,Mumbai,2007,1261,Petrol,Manual,First,19.0,1194.0,94.68,5,811999,600000
Hyundai Elite i20 Asta Option,Coimbatore,2017,59450,Petrol,Manual,First,18.6,1197.0,81.86,5,977999,753000
Maruti Baleno Delta,Mumbai,2016,12573,Petrol,Manual,First,21.4,1197.0,83.1,5,736000,580000
Toyota Fortuner 2.8 2WD AT,Pune,2017,29000,Diesel,Automatic,First,12.9,2755.0,174.5,7,3811000,3100000
Maruti Ertiga ZDI,Delhi,2013,68000,Diesel,Manual,First,25.47,1248.0,88.5,7,1175000,484999
Maruti Swift VDI,Hyderabad,2013,84000,Diesel,Manual,First,28.4,1248.0,74.0,5,844000,565000
Hyundai Creta 1.6 SX Option,Delhi,2016,24347,Petrol,Manual,First,15.8,1591.0,121.3,5,1605999,1100000
Honda City i-VTEC CVT VX,Mumbai,2017,17000,Petrol,Automatic,First,18.0,1497.0,117.3,5,1529000,1160000
Honda Brio 1.2 VX MT,Kochi,2014,41460,Petrol,Manual,First,18.5,1198.0,86.8,5,663000,395000
Toyota Fortuner 2.8 4WD MT,Bangalore,2015,150386,Diesel,Manual,First,14.24,2755.0,174.5,7,3960000,2300000
Maruti Vitara Brezza ZDi Plus,Ahmedabad,2017,80000,Diesel,Manual,First,24.3,1248.0,88.5,5,1091000,800000
Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,Mumbai,2016,13000,Petrol,Automatic,First,12.95,1999.0,152.88,5,2575000,1775000
Maruti Wagon R VXI,Kolkata,2016,16956,Petrol,Manual,First,22.5,998.0,67.04,5,529000,360000
Maruti Wagon R VXI,Mumbai,2010,38000,Petrol,Manual,Second,22.5,998.0,67.04,5,561000,175000
Honda Brio 1.2 VX AT,Mumbai,2017,20000,Petrol,Automatic,First,16.5,1198.0,86.8,5,805000,599000
Toyota Etios Cross 1.4L GD,Kochi,2016,36681,Diesel,Manual,First,23.59,1364.0,67.06,5,882000,671000
Honda City i-VTEC CVT ZX,Coimbatore,2018,20300,Petrol,Automatic,First,18.0,1497.0,117.3,5,1738000,1421000
Maruti Celerio ZXI MT,Kochi,2017,21799,Petrol,Manual,First,23.1,998.0,67.04,5,569000,511000
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2017,35358,Diesel,Automatic,First,11.36,2755.0,171.5,7,2656000,2299000
Tata Tiago 1.2 Revotron XT,Jaipur,2016,42700,Petrol,Manual,First,23.84,1199.0,84.0,5,561000,360000
Toyota Fortuner 2.8 4WD MT,Hyderabad,2010,110000,Diesel,Manual,First,14.24,2755.0,174.5,7,3751000,1370000
Maruti Wagon R VXI 1.2,Mumbai,2015,55000,Petrol,Manual,First,21.5,1197.0,81.8,5,588000,310000
Honda City i-DTEC ZX,Hyderabad,2017,46000,Diesel,Manual,First,25.6,1498.0,98.6,5,1695000,1290000
BMW 5 Series 520d Luxury Line,Ahmedabad,2012,95000,Diesel,Automatic,Second,22.48,1995.0,190.0,5,6371000,1750000
Ford EcoSport 1.5 Diesel Titanium,Delhi,2017,39000,Diesel,Manual,First,23.0,1498.0,98.96,5,1147000,844999
Toyota Fortuner 2.8 4WD MT,Mumbai,2010,140000,Diesel,Manual,First,14.24,2755.0,174.5,7,3746000,1075000
Maruti Swift VDI,Kochi,2016,62192,Diesel,Manual,First,28.4,1248.0,74.0,5,788000,522000
Maruti Ciaz Alpha,Kochi,2018,38394,Petrol,Manual,First,21.56,1462.0,103.25,5,1137000,918000
Hyundai Elantra 2.0 SX Option AT,Delhi,2016,28000,Petrol,Automatic,First,14.62,1999.0,149.92,5,2177000,1390000
Volkswagen Vento 1.5 TDI Trendline,Mumbai,2011,47000,Diesel,Manual,First,20.64,1498.0,108.5,5,1130000,325000
Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,Diesel,Automatic,First,18.0,2987.0,258.0,5,9250000,7880000
Hyundai Elantra 2.0 SX Option AT,Coimbatore,2015,58239,Petrol,Automatic,First,14.62,1999.0,149.92,5,2364000,969000
Nissan Terrano XL D Option,Mumbai,2014,51000,Diesel,Manual,First,19.87,1461.0,83.14,5,1506000,565000
Toyota Fortuner 2.8 2WD AT,Ahmedabad,2016,88008,Diesel,Automatic,Second,12.9,2755.0,174.5,7,3445000,2250000
Mercedes-Benz GLA Class 200 d Sport,Mumbai,2018,10000,Diesel,Automatic,First,17.9,2143.0,136.0,5,4194000,2890000
Mini Cooper Convertible S,Chennai,2012,17000,Petrol,Automatic,Second,16.82,1998.0,189.08,4,4428000,2200000
Mini Cooper 3 DOOR S,Mumbai,2013,21000,Petrol,Automatic,First,17.44,1998.0,189.08,4,3957000,2150000
Skoda Rapid 1.6 MPI AT Ambition,Mumbai,2017,32000,Petrol,Automatic,First,14.84,1598.0,103.52,5,1370000,811000
Maruti Ertiga VDI,Delhi,2017,65000,Diesel,Manual,First,25.47,1248.0,88.5,7,1116000,765000
Ford EcoSport 1.5 Petrol Trend,Kolkata,2016,21460,Petrol,Manual,First,17.0,1497.0,121.36,5,947000,600000
Honda Jazz V CVT,Hyderabad,2015,33000,Petrol,Automatic,First,19.0,1199.0,88.7,5,1017000,725000
Maruti Vitara Brezza ZDi Plus,Jaipur,2017,48324,Diesel,Manual,First,24.3,1248.0,88.5,5,1147000,900000
Hyundai Grand i10 1.2 CRDi Sportz,Kochi,2017,20773,Diesel,Manual,First,24.0,1186.0,73.97,5,817000,592000
Volkswagen Polo 1.5 TDI Highline,Kolkata,2016,22000,Diesel,Manual,First,20.14,1498.0,88.0,5,958000,629000
BMW 3 Series 320d,Mumbai,2013,25000,Diesel,Automatic,First,22.69,1995.0,190.0,5,4787000,1798999
Mahindra Xylo H4,Chennai,2015,82000,Diesel,Manual,Second,14.02,2179.0,118.3,7,1167000,484999
Maruti Dzire VDI,Hyderabad,2011,110000,Diesel,Manual,First,28.4,1248.0,73.75,5,914000,400000
Volkswagen Polo 1.5 TDI Highline,Delhi,2012,68038,Diesel,Manual,First,20.14,1498.0,88.0,5,996000,360000
BMW 5 Series 520d Luxury Line,Ahmedabad,2013,55000,Diesel,Automatic,First,22.48,1995.0,190.0,5,6371000,2175000
Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,2017,25000,Diesel,Automatic,First,17.9,2143.0,170.0,5,6414000,4500000
Maruti Alto K10 VXI,Coimbatore,2011,46808,Petrol,Manual,Second,24.07,998.0,67.1,5,470000,319000
Hyundai Xcent 1.2 VTVT S,Coimbatore,2015,65743,Petrol,Manual,First,20.14,1197.0,81.86,5,785000,620000
Hyundai Creta 1.6 SX Option,Mumbai,2016,29477,Petrol,Manual,First,15.8,1591.0,121.3,5,1636000,1025000
Toyota Fortuner 2.8 2WD AT,Delhi,2017,40000,Diesel,Automatic,First,12.9,2755.0,174.5,7,3738000,3000000
Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,30000,Diesel,Manual,First,23.0,1498.0,98.96,5,1189000,899000
Tata Zest Revotron 1.2T XE,Delhi,2017,47000,Petrol,Manual,Second,17.57,1193.0,88.7,5,662000,450000
Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,45362,Diesel,Manual,First,24.3,1248.0,88.5,5,1175000,938000
Tata Hexa XTA,Coimbatore,2019,14233,Diesel,Automatic,First,17.6,2179.0,153.86,7,2274000,1785000
Skoda Superb Style 1.8 TSI AT,Mumbai,2010,62004,Petrol,Automatic,Second,14.67,1798.0,177.46,5,3336000,375000
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25500,Diesel,Automatic,First,21.5,1498.0,108.5,5,1586000,894999
Mercedes-Benz E-Class E 220 d,Mumbai,2018,11000,Diesel,Automatic,First,16.1,1950.0,194.0,5,7055000,5650000
BMW 3 Series 320d Luxury Line,Mumbai,2014,18600,Diesel,Automatic,Second,22.69,1995.0,190.0,5,5443000,2100000
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,20969,Diesel,Automatic,First,17.9,2143.0,136.0,5,4536000,2787000
Maruti Vitara Brezza ZDi,Kolkata,2018,2900,Diesel,Manual,First,24.3,1248.0,88.5,5,1013000,875000
Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,Diesel,Manual,First,21.13,1498.0,108.4,5,1422000,1192000
Mahindra NuvoSport N8,Coimbatore,2017,37712,Diesel,Manual,First,17.45,1493.0,100.0,7,1177000,757000
Datsun redi-GO T Option,Kochi,2018,30953,Petrol,Manual,First,22.7,799.0,53.64,5,405000,348000
Jeep Compass 2.0 Limited 4X4,Coimbatore,2018,48188,Diesel,Manual,First,16.3,1956.0,170.0,5,2695000,2169000
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2017,65367,Diesel,Automatic,First,11.36,2755.0,171.5,7,2805000,2014000
Maruti Wagon R VXI AMT,Mumbai,2016,8000,Petrol,Automatic,First,22.5,998.0,67.0,5,614000,415000
Maruti Alto K10 VXI,Mumbai,2016,13198,Petrol,Manual,First,24.07,998.0,67.1,5,482000,315000
Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,2019,15379,Petrol,Automatic,First,23.84,1199.0,83.83,5,717000,697000
Mini Cooper Convertible S,Mumbai,2016,15000,Petrol,Automatic,First,16.82,1998.0,189.08,4,4428000,3500000
Hyundai Verna CRDi 1.6 SX Option,Pune,2017,50000,Diesel,Manual,First,22.0,1582.0,126.2,5,1572000,1150000
Renault Duster 85PS Diesel RxE,Pune,2016,54000,Diesel,Manual,First,19.87,1461.0,83.8,5,1127000,650000
Honda BRV i-VTEC V MT,Pune,2016,9200,Petrol,Manual,First,15.4,1497.0,117.3,7,1358000,800000
Honda Amaze S Diesel,Hyderabad,2015,29000,Diesel,Manual,First,27.4,1498.0,98.6,5,909000,599000
Maruti Alto K10 VXI,Kochi,2018,46805,Petrol,Manual,First,24.07,998.0,67.1,5,409000,363000
Tata Zest Revotron 1.2T XE,Mumbai,2017,100000,Petrol,Manual,First,17.57,1193.0,88.7,5,683000,425000
Maruti Wagon R LXI,Kochi,2011,15466,Petrol,Manual,First,22.5,998.0,67.04,5,504000,336000
BMW 3 Series 320d,Kolkata,2011,70000,Diesel,Automatic,First,22.69,1995.0,190.0,5,4381000,1030000
Maruti Wagon R VXI,Kochi,2014,41994,Petrol,Manual,First,22.5,998.0,67.04,5,512000,341000
Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,51000,Diesel,Automatic,First,15.17,1968.0,181.0,5,4864000,2750000
Maruti Wagon R VXI 1.2,Jaipur,2015,64876,Petrol,Manual,First,21.5,1197.0,81.8,5,571000,350000
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,25299,Diesel,Manual,First,24.3,1248.0,88.5,5,1256000,1034000
Honda Amaze V Petrol,Kochi,2016,40866,Petrol,Manual,First,19.5,1199.0,86.76,5,816000,547000
Mini Cooper Convertible S,Kochi,2017,20469,Petrol,Automatic,First,16.82,1998.0,189.08,4,4428000,3597999
Volkswagen Ameo 1.5 TDI Highline,Kochi,2018,31426,Diesel,Manual,First,21.66,1498.0,108.62,5,972000,790000
Maruti Baleno Alpha CVT,Kochi,2019,13574,Petrol,Automatic,First,21.4,1197.0,83.1,5,1030000,951000
BMW 5 Series 520d Luxury Line,Ahmedabad,2013,90000,Diesel,Automatic,First,22.48,1995.0,190.0,5,6371000,1950000
Maruti Vitara Brezza ZDi Plus,Kochi,2017,38426,Diesel,Manual,First,24.3,1248.0,88.5,5,1112000,913000
Maruti Eeco 7 Seater Standard,Pune,2011,45000,Petrol,Manual,First,15.1,1196.0,73.0,7,469000,225000
Maruti Wagon R LXI,Mumbai,2010,37822,Petrol,Manual,First,22.5,998.0,67.04,5,504000,235000
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2017,72202,Diesel,Manual,First,13.68,2393.0,147.8,8,2401000,1792000
Mercedes-Benz GLE 350d,Coimbatore,2018,30706,Diesel,Automatic,First,11.57,2987.0,254.79,5,9513000,5929000
Maruti Baleno Alpha,Mumbai,2016,12208,Petrol,Manual,First,21.4,1197.0,83.1,5,877999,675000
Volkswagen Polo GT TSI,Mumbai,2017,27853,Petrol,Automatic,First,17.21,1197.0,103.5,5,1126000,825000
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,20689,Petrol,Manual,First,18.9,1197.0,81.86,5,668000,607000
Renault KWID 1.0 RXT Optional AMT,Coimbatore,2017,53285,Petrol,Automatic,First,22.5,999.0,67.0,5,542000,428000
Mercedes-Benz GLE 350d,Mumbai,2017,19863,Diesel,Automatic,First,11.57,2987.0,254.79,5,9123000,6495000
Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,2018,3958,Petrol,Manual,First,18.9,1197.0,81.86,5,714000,555000
BMW X3 xDrive 20d Luxury Line,Hyderabad,2009,58000,Diesel,Automatic,First,18.56,1995.0,190.0,5,6959000,1798000
Renault KWID 1.0 RXT Optional,Kochi,2018,18335,Petrol,Manual,First,21.7,999.0,67.0,5,461000,450000
Volkswagen Polo GT TSI,Mumbai,2017,25000,Petrol,Automatic,First,17.21,1197.0,103.5,5,1126000,775000
Toyota Fortuner 2.8 2WD AT,Kochi,2019,21719,Diesel,Automatic,First,12.9,2755.0,174.5,7,3738000,3313000
Renault KWID Climber 1.0 MT,Hyderabad,2018,4126,Petrol,Manual,First,21.7,999.0,67.0,5,530000,480000
Tata Bolt Quadrajet XM,Hyderabad,2017,98500,Diesel,Manual,First,22.95,1248.0,74.0,5,797000,600000
BMW 3 Series 320d,Coimbatore,2009,103905,Diesel,Automatic,First,22.69,1995.0,190.0,5,4331000,992000
Audi A6 35 TDI Matrix,Delhi,2014,56000,Diesel,Automatic,First,18.53,1968.0,187.74,5,5938000,2400000
Volkswagen Vento 1.5 TDI Highline AT,Kochi,2017,33550,Diesel,Automatic,First,21.5,1498.0,108.5,5,1586000,960000
Audi A6 35 TDI Matrix,Hyderabad,2014,62000,Diesel,Automatic,First,18.53,1968.0,187.74,5,6709999,2500000
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,27852,Petrol,Automatic,First,14.8,1497.0,121.36,5,1410000,1044000
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,2018,14000,Diesel,Manual,First,21.5,1497.0,108.5,5,1222000,990000
Isuzu MUX 4WD,Jaipur,2017,34429,Diesel,Automatic,First,13.8,2999.0,174.57,7,3368000,2000000
Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52100,Diesel,Manual,First,21.43,1364.0,86.79,5,1927000,650000
Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,2018,10000,Petrol,Manual,First,18.9,1197.0,81.86,5,696000,585000
Jeep Compass 2.0 Limited 4X4,Coimbatore,2019,6261,Diesel,Manual,First,16.3,1956.0,170.0,5,2695000,2391000
Maruti Ignis 1.2 AMT Alpha,Coimbatore,2019,3906,Petrol,Automatic,First,20.89,1197.0,81.8,5,796000,736000
Toyota Innova Crysta 2.4 VX MT,Mumbai,2017,38000,Diesel,Manual,First,13.68,2393.0,147.8,7,2306000,1764999
Toyota Platinum Etios 1.4 GXD,Hyderabad,2015,150000,Diesel,Manual,First,23.59,1364.0,67.05,5,958000,600000
Toyota Innova Crysta 2.8 GX AT 8S,Delhi,2017,18000,Diesel,Automatic,First,11.36,2755.0,171.5,8,2080000,1825000
Nissan Micra Active XV,Ahmedabad,2016,41000,Petrol,Manual,First,19.69,1198.0,67.04,5,678000,425000
Jeep Compass 2.0 Sport,Hyderabad,2017,37000,Diesel,Manual,First,17.1,1956.0,170.0,5,1991000,1689999
Tata Zest Quadrajet 1.3 75PS XM,Pune,2017,72000,Diesel,Manual,First,22.95,1248.0,74.0,5,893000,500000
Maruti Dzire VXI,Hyderabad,2013,34900,Petrol,Manual,First,22.0,1197.0,81.8,5,797000,549000
Maruti Wagon R LXI,Mumbai,2014,25422,Petrol,Manual,First,22.5,998.0,67.04,5,504000,325000
Maruti Ertiga VDI,Mumbai,2018,14000,Diesel,Manual,First,25.47,1248.0,88.5,7,1166000,925000
Mahindra KUV 100 G80 K6 Plus 5Str,Kolkata,2017,43000,Petrol,Manual,First,18.15,1198.0,82.0,5,735000,450000
Maruti Swift VXI,Pune,2010,68000,Petrol,Manual,First,22.0,1197.0,81.8,5,699000,280000
Jeep Compass 2.0 Limited,Pune,2018,16039,Diesel,Manual,First,17.1,1956.0,170.0,5,2389000,1850000
Maruti Swift LDI,Hyderabad,2016,52000,Diesel,Manual,First,28.4,1248.0,74.0,5,727000,595000
Maruti Swift VDI,Kochi,2015,53500,Diesel,Manual,First,28.4,1248.0,74.0,5,788000,536000
Hyundai Xcent 1.2 CRDi S,Mumbai,2016,50000,Diesel,Manual,First,25.4,1186.0,73.97,5,884000,350000
BMW 3 Series 320d Luxury Line,Delhi,2019,87000,Diesel,Automatic,First,22.69,1995.0,190.0,5,5246000,667000
Mahindra Xylo H4,Coimbatore,2016,93166,Diesel,Manual,Second,14.02,2179.0,118.3,7,1167000,585000
Toyota Corolla Altis 1.8 VL CVT,Kolkata,2018,5000,Petrol,Automatic,First,14.28,1798.0,138.03,5,2237000,1695000
Skoda Rapid 1.6 MPI Ambition,Mumbai,2015,39822,Petrol,Manual,First,15.41,1598.0,103.52,5,1202000,468000
Renault KWID RXL,Kochi,2017,24214,Petrol,Manual,Second,25.17,799.0,53.3,5,395000,346000
BMW 3 Series 320d,Coimbatore,2013,85846,Diesel,Automatic,First,22.69,1995.0,190.0,5,4879000,1308000
Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,35981,Diesel,Manual,First,24.3,1248.0,88.5,5,1129000,951000
Honda Brio 1.2 S MT,Mumbai,2015,22000,Petrol,Manual,First,18.5,1198.0,86.8,5,623000,395000
Hyundai Grand i10 1.2 Kappa Magna AT,Coimbatore,2019,12153,Petrol,Automatic,First,18.9,1197.0,81.86,5,798000,684000
Audi A4 30 TFSI Premium Plus,Kochi,2017,61221,Petrol,Automatic,First,17.84,1395.0,147.51,5,4716000,2173000
Mini Cooper 5 DOOR D,Kochi,2019,14857,Diesel,Automatic,First,20.7,1496.0,113.98,5,4198000,3155000
Ford Endeavour Titanium 4X2,Coimbatore,2019,14648,Diesel,Manual,First,12.62,2198.0,158.0,7,3529000,2736000
Tata Zest Revotron 1.2T XM,Kochi,2017,48198,Petrol,Manual,First,17.57,1193.0,88.7,5,763000,465000
Maruti Dzire LDI,Pune,2012,150000,Diesel,Manual,Third,28.4,1248.0,73.75,5,791000,225000
Maruti Wagon R VXI,Chennai,2014,52000,Petrol,Manual,First,22.5,998.0,67.04,5,551000,345000
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2017,62788,Petrol,Manual,First,18.9,1197.0,81.86,5,810000,608000
Toyota Innova Crysta 2.8 GX AT,Pune,2018,20300,Diesel,Automatic,First,11.36,2755.0,171.5,7,2097000,1800000
Mini Cooper 3 DOOR D,Kochi,2015,27641,Diesel,Automatic,Second,20.7,1496.0,113.98,4,3489000,2477000
Mahindra XUV500 W7,Delhi,2018,9000,Diesel,Manual,First,14.0,2179.0,155.0,7,1639999,1300000
Honda City i-VTEC CVT VX,Mumbai,2015,19000,Petrol,Automatic,First,18.0,1497.0,117.3,5,1529000,894999
Honda City i-VTEC CVT VX,Jaipur,2017,35000,Petrol,Automatic,First,18.0,1497.0,117.3,5,1467000,770000
Honda City i-VTEC V,Mumbai,2017,11000,Petrol,Manual,First,17.4,1497.0,117.3,5,1257000,850000
Nissan Micra XV D,Chennai,2012,93450,Diesel,Manual,Second,23.19,1461.0,63.12,5,948000,250000
Maruti Dzire ZDI,Ahmedabad,2013,56454,Diesel,Manual,First,28.4,1248.0,73.75,5,894999,465000
